Time (s),CH1,CH2
-0.0013588059239237158,-0.18890625,-0.18890625
-0.0013584059221798466,0.2078125,0.2078125
-0.0013580059204359775,-0.1896875,-0.1896875
-0.0013576059186921083,0.20828125,0.20828125
-0.0013572059169482391,-0.19,-0.19
-0.00135680591520437,0.20875,0.20875
-0.0013564059134605008,-0.19,-0.19
-0.0013560059117166316,0.2090625,0.2090625
-0.0013556059099727625,-0.19046875,-0.19046875
-0.0013552059082288933,0.20953125,0.20953125
-0.0013548059064850241,-0.1909375,-0.1909375
-0.001354405904741155,0.2090625,0.2090625
-0.0013540059029972858,-0.19109375,-0.19109375
-0.0013536059012534166,0.21015625000000002,0.21015625000000002
-0.0013532058995095475,-0.1909375,-0.1909375
-0.0013528058977656783,0.210625,0.210625
-0.0013524058960218091,-0.19140625,-0.19140625
-0.00135200589427794,0.21046875,0.21046875
-0.0013516058925340708,-0.19203125000000001,-0.19203125000000001
-0.0013512058907902017,0.21156250000000001,0.21156250000000001
-0.0013508058890463325,-0.19234375,-0.19234375
-0.0013504058873024633,0.211875,0.211875
-0.0013500058855585942,-0.1928125,-0.1928125
-0.001349605883814725,0.21171875,0.21171875
-0.0013492058820708558,-0.1928125,-0.1928125
-0.0013488058803269867,0.21203125,0.21203125
-0.0013484058785831175,-0.193125,-0.193125
-0.0013480058768392483,0.21234375,0.21234375
-0.0013476058750953792,-0.1940625,-0.1940625
-0.00134720587335151,0.21296875,0.21296875
-0.0013468058716076408,-0.19359375,-0.19359375
-0.0013464058698637717,0.21390625,0.21390625
-0.0013460058681199025,-0.19390625,-0.19390625
-0.0013456058663760333,0.2134375,0.2134375
-0.0013452058646321642,-0.195,-0.195
-0.001344805862888295,0.21375,0.21375
-0.0013444058611444259,-0.19453125000000002,-0.19453125000000002
-0.0013440058594005567,0.21421875,0.21421875
-0.0013436058576566875,-0.19515625,-0.19515625
-0.0013432058559128184,0.21421875,0.21421875
-0.0013428058541689492,-0.19578125000000002,-0.19578125000000002
-0.00134240585242508,0.21453125,0.21453125
